entity;facility;own_facility;classification_fuel_rawmaterial;emissions_activites;detailed_desc;types_of_fuel;detailed_desc_fuel;date_collection;january;february;maret;april;may;june;july;augustus;september;october;november;december;fuel_usage;unit;fuel_consumption(Kg);energy_consumption(MJ);ghg_emissions(tCO2eq);kgCO2;kgCH4;kgN2O;updated_by;updated_date
PT. HJL INDO NETWORKS;PT. HJL INDO NETWORKS;Vehicle;Fuel;Mobile combustion fuels and vehicle;manager-level operational vehicles;Automotive gasoline (petrol);RON 92 (called pertamax);2022;1,586848;1,635574;1,578364;3,034391;1,94021;2,432964;3,270419;2,604809;3,695244;3,031793;2,820299;3,670779;31,301694;㎥;23194,55525;1027518,798;71,45858929;71207,05268;3,082556393;0,616511279;;
PT.HOGA REKSA GARMENT;PT.HOGA REKSA GARMENT;Power Generator;Fuel;Stationary combustion;Conversion of Diesel Combusting to Electric Energy;Biodiesel;;2022;0,07;0,11;0,18;0,08;0,12;0,06;0,15;0,15;0,06;0,05;0,15;0,24;1,42;㎥;1199,9;32397,3;2,301659699;2293,72884;0,0971919;0,01943838;;
PT.HOGA REKSA GARMENT;PT.HOGA REKSA GARMENT;Vehicle;Fuel;Mobile combustion;Company Controlled Vehicle for Logistic Purpose;Biodiesel;;2022;2,135456505;0,540840388;0,985180388;0,687905437;1,037520583;0,79520835;1,186248155;1,079680583;1,01682;0,78422;0,46429;0,94829;11,66166039;㎥;9854,103028;266060,7818;18,90223503;18837,10335;0,798182345;0,159636469;;
PT.HOGA REKSA GARMENT;PT.HOGA REKSA GARMENT;Vehicle;Fuel;Mobile combustion;Company Controlled Vehicle for Business Purpose;Automotive gasoline (petrol);;2022;1,283170774;0,418406507;1,107431321;1,790777351;1,822280272;1,608782695;1,624813343;1,987919861;2,008056517;2,1341;1,53608;1,47165561;18,79347425;㎥;13925,96442;616920,2238;42,90359358;42752,57151;1,850760671;0,370152134;;
HOJEON LIMITED;HOJEON LIMITED Co., Ltd;차량;원료;이동연소;차량 운행;Automotive gasoline (petrol);;2023;1,877710015;1,953645206;2,297069958;2,05914862;2,158942896;2,151322597;2,144517888;2,350850284;2,350667689;2,400516135;2,298275086;2,22053829;26,26320466;㎥;19461,03466;862123,8353;59,9562297;59745,18179;2,586371506;0,517274301;;
PT. KAHOINDAH CITRAGARMENT;KAHOINDAH CITRAGARMENT;Vehicle;Fuel;Mobile combustion fuels and vehicle;manager-level operational vehicles;Automotive gasoline (petrol);RON 90 (called Pertalite);2023;2,34502;2,48234;2,49348;1,21122;2,56283;2,2667;2,44342;2,88951;2,73765;2,25794;2,34373;2,01056;28,0444;㎥;20780,9004;920593,8877;64,0225178;63797,15642;2,761781663;0,552356333;;
PT. KAHOINDAH CITRAGARMENT;KAHOINDAH CITRAGARMENT;Boiler;Fuel;Stationary combustion fuels and equipment - Solid Fuel;converts boiler combustion to produce heat that is used for steam ironing and fabric relaxation.;Industrial Wastes;Fabric Waste from Production;2023;24973;22164;28645;26953;28481;26867;26050;25450;25560;25150;25740;25670;311703;kg;311703;6781664,643;982,6767701;969778,044;203,4499393;27,12665857;;
PT. KAHOINDAH CITRAGARMENT;KAHOINDAH CITRAGARMENT;Forklift;Fuel;Mobile combustion fuels and vehicle;to transport heavy weight item from one location to another location using forklift;Biodiesel;Biosolar (B30);2023;0,13;0,13;0,14;0,14;0,12;0,12;0,13;0,13;0,14;0,12;0,12;0,12;1,54;㎥;1301,3;35135,1;2,496166152;2487,56508;0,1054053;0,02108106;;
PT. KAHOINDAH CITRAGARMENT;KAHOINDAH CITRAGARMENT;Kitchen;Fuel;Stationary combustion fuels and equipment - Gaseous Fuel;coocking food;Liquefied Petroleum Gas (LPG);LPG 12 KG;2023;36;24;24;12;24;12;24;24;12;24;24;24;264;kg;264;12487,2;0,788620375;787,94232;0,0124872;0,00124872;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (1공장);Mess;Fuel;Stationary combustion;;Liquefied Petroleum Gas (LPG);LPG 12 KG & CAN 230 GR;2023;61,38;61,38;73,15;73,15;50,3;73,15;73,38;85,84;73,38;73,61;85,38;96,92;881,02;kg;881,02;41672,246;2,631781526;2629,518723;0,041672246;0,004167225;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (1공장);Generator;Fuel;Stationary combustion;;Gas / Diesel oil;SOLAR;2023;0,575;0,1;0,375;0;0,1;0,1;0,125;0,1;0,1;0,4;0,1;0,125;2,2;㎥;1856,8;79842,4;5,93586726;5916,32184;0,2395272;0,04790544;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (1공장);Boiler;Fuel;Stationary combustion;;Industrial Wastes;FABRIC WASTE FROM CUTTING;2023;29700;29700;31050;17550;31050;36450;27000;24300;40500;29700;31050;27000;355050;kg;355050;7724757,322;1119,332785;1104640,297;231,7427197;30,89902929;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (1공장);AC;RawMaterial;Others;;Hydrofluorocarbons(HFCs);HFC-410A;2023;0;0;0;0;11,3;0;0;0;0;0;0;0;11,3;kg;11,3;0;25,48715;0;0;0;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (1공장);AC;RawMaterial;Others;;ETC;HCFC-22;2023;0;0;0;0;13,6;0;0;0;0;0;0;0;13,6;kg;13,6;0;26,656;0;0;0;;
